Analytics overview
2019-02-21 - 2019-03-20
Content types,All
Devices,All
Source,All
Claimed accounts,All Pins

Day,Engagement rate
2019-02-21,0.0
2019-02-22,0.0
2019-02-23,0.0
2019-02-24,0.030927835051546393
2019-02-25,0.0
2019-02-26,0.012345679012345678
2019-02-27,0.0
2019-02-28,0.05454545454545454
2019-03-01,0.02857142857142857
2019-03-02,0.0
2019-03-03,0.02608695652173913
2019-03-04,0.04878048780487805
2019-03-05,0.015384615384615385
2019-03-06,0.01652892561983471
2019-03-07,0.034013605442176874
2019-03-08,0.02
2019-03-09,0.022727272727272728
2019-03-10,0.06349206349206349
2019-03-11,0.01870503597122302
2019-03-12,0.012465373961218837
2019-03-13,0.02922077922077922
2019-03-14,0.018488745980707395
2019-03-15,0.008203445447087777
2019-03-16,0.004739336492890996
2019-03-17,0.03355704697986577
2019-03-18,0.017973856209150325
2019-03-19,0.004456327985739751
2019-03-20,0.001893939393939394

Top Pins 2019-02-21 - 2019-03-20
Pinterest Link,Content Type,Source,Canonical,Impressions
https://www.pinterest.com/pin/584975439078322076/,Paid,From you,No,1281
https://www.pinterest.com/pin/584975439078322600/,Paid,From you,No,1223
https://www.pinterest.com/pin/584975439078322420/,Paid,From you,No,983
https://www.pinterest.com/pin/584975439078322030/,Organic,From you,No,905
https://www.pinterest.com/pin/584975439078322049/,Paid,From you,No,812
https://www.pinterest.com/pin/584975439078321442/,Paid,From you,No,593
https://www.pinterest.com/pin/584975439077636473/,Organic,From you,No,439
https://www.pinterest.com/pin/584975439078322574/,Paid,From you,No,371
https://www.pinterest.com/pin/584975439077636486/,Organic,From you,No,371
https://www.pinterest.com/pin/584975439078322317/,Paid,From you,No,304
https://www.pinterest.com/pin/584975439077636543/,Organic,From you,No,289
https://www.pinterest.com/pin/584975439077557423/,Paid,From you,Yes,279
https://www.pinterest.com/pin/584975439077810597/,Paid,From you,No,255
https://www.pinterest.com/pin/584975439078322439/,Paid,From you,No,246
https://www.pinterest.com/pin/584975439078322455/,Paid,From you,No,198
https://www.pinterest.com/pin/584975439078503203/,Paid,From you,No,188
https://www.pinterest.com/pin/584975439078503854/,Paid,From you,No,174
https://www.pinterest.com/pin/584975439077636510/,Organic,From you,No,160
https://www.pinterest.com/pin/584975439078503204/,Paid,From you,No,158
https://www.pinterest.com/pin/584975439078504066/,Paid,From you,No,139
https://www.pinterest.com/pin/584975439078322030/,Paid,From you,No,138
https://www.pinterest.com/pin/584975439078503187/,Paid,From you,No,135
https://www.pinterest.com/pin/584975439077636534/,Organic,From you,No,114
https://www.pinterest.com/pin/584975439078322317/,Organic,From you,No,92
https://www.pinterest.com/pin/584975439078503809/,Paid,From you,No,90
https://www.pinterest.com/pin/584975439077676124/,Organic,From you,No,78
https://www.pinterest.com/pin/584975439077676106/,Organic,From you,No,75
https://www.pinterest.com/pin/584975439077676153/,Organic,From you,No,74
https://www.pinterest.com/pin/584975439078361505/,Organic,From you,No,71
https://www.pinterest.com/pin/584975439078322600/,Organic,From you,No,62
https://www.pinterest.com/pin/584975439077675593/,Organic,From you,No,59
https://www.pinterest.com/pin/584975439077675597/,Organic,From you,No,58
https://www.pinterest.com/pin/584975439077675589/,Organic,From you,No,57
https://www.pinterest.com/pin/584975439077557385/,Organic,From you,Yes,57
https://www.pinterest.com/pin/584975439077557385/,Paid,From you,Yes,56
https://www.pinterest.com/pin/584975439077675614/,Organic,From you,No,56
https://www.pinterest.com/pin/584975439078322574/,Organic,From you,No,56
https://www.pinterest.com/pin/584975439077557423/,Organic,From you,Yes,54
https://www.pinterest.com/pin/584975439077675602/,Organic,From you,No,53
https://www.pinterest.com/pin/584975439078322455/,Organic,From you,No,53
https://www.pinterest.com/pin/584975439078322076/,Organic,From you,No,49
https://www.pinterest.com/pin/584975439078321442/,Organic,From you,No,48
https://www.pinterest.com/pin/584975439077517616/,Organic,From you,Yes,48
https://www.pinterest.com/pin/584975439077676096/,Organic,From you,No,46
https://www.pinterest.com/pin/584975439078024445/,Organic,From you,No,44
https://www.pinterest.com/pin/584975439078025522/,Organic,From you,No,42
https://www.pinterest.com/pin/584975439078503854/,Organic,From you,No,42
https://www.pinterest.com/pin/584975439078024431/,Organic,From you,No,42
https://www.pinterest.com/pin/584975439078024421/,Organic,From you,No,41
https://www.pinterest.com/pin/584975439078322049/,Organic,From you,No,41
Top pins table is restricted to data from the last 6 months.

