Analytics overview
2019-03-21 - 2019-04-21
Content types,All
Devices,All
Source,All
Claimed accounts,All Pins

Day,Engagement rate
2019-03-21,0.010763209393346379
2019-03-22,0.004889975550122249
2019-03-23,0.004223864836325237
2019-03-24,0.016260162601626018
2019-03-25,0.0
2019-03-26,0.003424657534246575
2019-03-27,0.032
2019-03-28,0.0
2019-03-29,0.00510204081632653
2019-03-30,0.02040816326530612
2019-03-31,0.0273972602739726
2019-04-01,0.024691358024691357
2019-04-02,0.005263157894736842
2019-04-03,0.035398230088495575
2019-04-04,0.010638297872340425
2019-04-05,0.0
2019-04-06,0.012987012987012988
2019-04-07,0.0
2019-04-08,0.005952380952380952
2019-04-09,0.008403361344537815
2019-04-10,0.0
2019-04-11,0.0
2019-04-12,0.0
2019-04-13,0.018867924528301886
2019-04-14,0.0
2019-04-15,0.0390625
2019-04-16,0.0
2019-04-17,0.0
2019-04-18,0.0
2019-04-19,0.010526315789473684
2019-04-20,0.0
2019-04-21,0.014925373134328358

Top Pins 2019-03-21 - 2019-04-21
Pinterest Link,Content Type,Source,Canonical,Impressions
https://www.pinterest.com/pin/584975439077636486/,Organic,From you,No,924
https://www.pinterest.com/pin/584975439077636473/,Organic,From you,No,528
https://www.pinterest.com/pin/584975439077636543/,Organic,From you,No,494
https://www.pinterest.com/pin/584975439078503809/,Paid,From you,No,321
https://www.pinterest.com/pin/584975439078504066/,Paid,From you,No,289
https://www.pinterest.com/pin/584975439078503203/,Paid,From you,No,244
https://www.pinterest.com/pin/584975439078503854/,Paid,From you,No,224
https://www.pinterest.com/pin/584975439077636510/,Organic,From you,No,222
https://www.pinterest.com/pin/584975439077557385/,Paid,From you,Yes,182
https://www.pinterest.com/pin/584975439078503187/,Paid,From you,No,182
https://www.pinterest.com/pin/584975439077636534/,Organic,From you,No,129
https://www.pinterest.com/pin/584975439078322030/,Paid,From you,No,119
https://www.pinterest.com/pin/584975439078503204/,Paid,From you,No,101
https://www.pinterest.com/pin/584975439077676124/,Paid,From you,No,75
https://www.pinterest.com/pin/584975439077675593/,Paid,From you,No,64
https://www.pinterest.com/pin/584975439077557385/,Organic,From you,Yes,59
https://www.pinterest.com/pin/584975439077810650/,Paid,From you,No,58
https://www.pinterest.com/pin/584975439078322317/,Organic,From you,No,55
https://www.pinterest.com/pin/584975439077517616/,Organic,From you,Yes,47
https://www.pinterest.com/pin/584975439077557423/,Paid,From you,Yes,44
https://www.pinterest.com/pin/584975439077557423/,Organic,From you,Yes,43
https://www.pinterest.com/pin/584975439077809134/,Paid,From you,No,41
https://www.pinterest.com/pin/584975439078503809/,Organic,From you,No,40
https://www.pinterest.com/pin/584975439078503204/,Organic,From you,No,40
https://www.pinterest.com/pin/584975439078504066/,Organic,From you,No,38
https://www.pinterest.com/pin/584975439077676106/,Paid,From you,No,38
https://www.pinterest.com/pin/584975439077676096/,Paid,From you,No,37
https://www.pinterest.com/pin/584975439078503203/,Organic,From you,No,37
https://www.pinterest.com/pin/584975439077675589/,Paid,From you,No,35
https://www.pinterest.com/pin/584975439078503854/,Organic,From you,No,34
https://www.pinterest.com/pin/584975439077676153/,Paid,From you,No,33
https://www.pinterest.com/pin/584975439077675614/,Organic,From you,No,33
https://www.pinterest.com/pin/584975439078025509/,Paid,From you,No,33
https://www.pinterest.com/pin/584975439077675593/,Organic,From you,No,33
https://www.pinterest.com/pin/584975439078503187/,Organic,From you,No,32
https://www.pinterest.com/pin/584975439077556277/,Paid,From you,No,32
https://www.pinterest.com/pin/584975439077960860/,Organic,From you,No,32
https://www.pinterest.com/pin/584975439077809409/,Paid,From you,No,32
https://www.pinterest.com/pin/584975439077960850/,Organic,From you,No,32
https://www.pinterest.com/pin/584975439077517617/,Organic,From you,Yes,31
https://www.pinterest.com/pin/584975439077556856/,Organic,From you,Yes,29
https://www.pinterest.com/pin/584975439077675802/,Organic,From you,No,29
https://www.pinterest.com/pin/584975439077675802/,Paid,From you,No,28
https://www.pinterest.com/pin/584975439077675614/,Paid,From you,No,27
https://www.pinterest.com/pin/584975439077556691/,Organic,From you,Yes,27
https://www.pinterest.com/pin/584975439077676153/,Organic,From you,No,25
https://www.pinterest.com/pin/584975439077809150/,Paid,From you,No,24
https://www.pinterest.com/pin/584975439077960860/,Paid,From you,No,23
https://www.pinterest.com/pin/584975439077675892/,Organic,From you,No,21
https://www.pinterest.com/pin/584975439077809419/,Paid,From you,No,20
Top pins table is restricted to data from the last 6 months.

