"상태","키워드 값","일치 유형","키워드 ID","지출","총 참여율"
"진행 중","rattlemaking","넓음","K2886538486052","0","0"
"진행 중","toysmaking ","넓음","K2886538486051","0","0"
"진행 중","stuffedmaking ","넓음","K2886538486050","0","0"
"진행 중"," feltmaking ","넓음","K2886538486049","0","0"
"진행 중"," friendsmaking","넓음","K2886538486048","0","0"
"진행 중","plushmaking","넓음","K2886538486047","0","0"
"진행 중","animalmaking","넓음","K2886538486046","0","0"
"진행 중"," kidmaking ","넓음","K2886538486045","0","0"
"진행 중"," minimaking","넓음","K2886538486044","0","0"
"진행 중"," sheepmaking","넓음","K2886538486043","0","0"
"진행 중"," catmaking","넓음","K2886538486042","0","0"
"진행 중"," rabbitmaking","넓음","K2886538486041","0","0"
"진행 중","making","넓음","K2886538486040","0.040042","0"
"진행 중","rattle kid","넓음","K2886538486039","0","0"
"진행 중","stuffed kid ","넓음","K2886538486038","0","0"
"진행 중"," kid for girls ","넓음","K2886538486037","0","0"
"진행 중","kids for children kid sewing","넓음","K2886538486036","0","0"
"진행 중"," kids felt ","넓음","K2886538486035","0","0"
"진행 중"," kid children","넓음","K2886538486034","0","0"
"진행 중"," kid childrens","넓음","K2886538486033","0","0"
"진행 중"," kids crafting","넓음","K2886538486032","0.031268","0.0294117647059"
"진행 중","kids plush craft","넓음","K2886538486031","0","0"
"진행 중"," kid craftster's sewing kid sanimal ","넓음","K2886538486030","0","0"
"진행 중","kid childs","넓음","K2886538486029","0","0"
"진행 중"," kid mini ","넓음","K2886538486028","0","0"
"진행 중"," kid sheep","넓음","K2886538486027","0","0"
"진행 중","kid cat","넓음","K2886538486026","0.004","0"
"진행 중","kid rabbit ","넓음","K2886538486025","0","0"
"진행 중","kid ","넓음","K2886538486024","0.112415","0.00564971751412"
"진행 중"," rattle kit","넓음","K2886538486023","0","0"
"진행 중"," kit for girls stuffed kit","넓음","K2886538486022","0","0"
"진행 중"," kits for children kit sewing","넓음","K2886538486021","0","0"
"진행 중","kits felt","넓음","K2886538486020","0","0"
"진행 중"," kit children ","넓음","K2886538486019","0","0"
"진행 중"," kit childrens","넓음","K2886538486018","0","0"
"진행 중","craft kit crafting ","넓음","K2886538486017","0","0"
"진행 중","kits plush ","넓음","K2886538486016","0","0"
"진행 중","kit animal","넓음","K2886538486015","0","0"
"진행 중"," kit Craftster's sewing ","넓음","K2886538486014","0","0"
"진행 중","kit childs","넓음","K2886538486013","0","0"
"진행 중"," kit mini ","넓음","K2886538486012","0","0"
"진행 중"," kit sheep","넓음","K2886538486011","0","0"
"진행 중"," kit cat","넓음","K2886538486010","0.006087","0"
"진행 중","kit rabbit","넓음","K2886538486009","0","0"
"진행 중","kit ","넓음","K2886538486008","0.006375","0"
"진행 중","rattle toy","넓음","K2886538486007","0","0"
"진행 중","child toy ","넓음","K2886538486006","0","0"
"진행 중","stuffed toy ","넓음","K2886538486005","0.013884","0"
"진행 중","felt toy ","넓음","K2886538486004","0.002","0"
"진행 중","diy toy ","넓음","K2886538486003","0.034859","0"
"진행 중","animal toy ","넓음","K2886538486002","0","0"
"진행 중"," mini toy ","넓음","K2886538486001","0","0"
"진행 중"," sewing","넓음","K2886538486000","0.03452","0"
"진행 중"," friend","넓음","K2886538485999","0.083096","0.027397260274"
"진행 중","sheep toy","넓음","K2886538485998","0","0"
"진행 중","cat toy ","넓음","K2886538485997","0.013367","0"
"진행 중"," rabbit toy ","넓음","K2886538485996","0.00203","0"
"진행 중","toy","넓음","K2886538485995","0.013146","0"
"진행 중"," rattle sewing","넓음","K2886538485994","0","0"
"진행 중"," kit sewing","넓음","K2886538485993","0","0"
"진행 중","child sewing","넓음","K2886538485992","0","0"
"진행 중","stuffed sewing ","넓음","K2886538485991","0","0"
"진행 중","felt sewing ","넓음","K2886538485990","0","0"
"진행 중","diy sewing ","넓음","K2886538485989","0.010444","0"
"진행 중","toy sewing ","넓음","K2886538485988","0","0"
"진행 중"," animal sewing","넓음","K2886538485987","0","0"
"진행 중","mini sewing","넓음","K2886538485986","0","0"
"진행 중","friends sewing ","넓음","K2886538485985","0.003551","0"
"진행 중"," sheep sewing ","넓음","K2886538485984","0","0"
"진행 중","cat sewing","넓음","K2886538485983","0.003576","0"
"진행 중","rabbit sewing ","넓음","K2886538485982","0","0"
"진행 중","sewing ","넓음","K2886538485981","0.03977","0"
"진행 중","DIY","넓음","K2886538485980","0.162755","0.0166666666667"
"진행 중","rattle plush","넓음","K2886538485979","0","0"
"진행 중","plush felt ","넓음","K2886538485978","0","0"
